Song Title,Lyrics
Dive (Recorded At Sound Stage Nashville),"[Verse 1]
Well, maybe I came on too strong
Maybe I waited too long
Maybe I played my cards wrong, oh, just a little bit wrong
Baby, I apologize for it

[Pre-Chorus]
I could fall or I could fly
Here in your aeroplane
And I could live or I could die
Hangin' on the words you say
And I've been known to give my all
And jumpin' in harder than
Ten thousand rocks on the lake

[Chorus]
So don't call me baby
Unless you mean it
And don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right in to you

[Verse 2]
You're a mystery, I've travelled the world
And there's no other girl like you, no one
What's your history? (What's your history?)
Do you have a tendency to lead some people on? 'Cause I heard you do, mhm
See Luke Combs LiveGet tickets as low as $78You might also like[Pre-Chorus]
I could fall or I could fly
Here in your aeroplane
Or I could live and I could die
Hanging on the words you say
And I've been known to give my all
And lie awake, every day
Don't know how much I can take

[Chorus]
So don't call me baby
Unless you mean it
And don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right in to you

[Instrumental Break]

[Pre-Chorus]
I could fall or I could fly
Here in your aeroplane
And I could live or I could die
Hangin' on the words you say
And I've been known to give my all
Sittin' back, lookin' at
Every mess that I made
[Chorus]
So don't call me baby
Unless you mean it
And don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right in to you

[Outro]
Before I dive right in to you
Before I dive right in to youEmbed"
Does To Me,"[Verse 1: Luke Combs]
I was a third-string dreamer on a second-place team
But I was hell on wheels with a full head of steam
When coach put me in
And I'm still proud of that hit
I was a last resort to go to prom with the queen
Thanks to an ex-boyfriend who broke her heart that week
No, I didn't get lucky
But I still felt like a king
And that might not mean much to you
But it does to me

[Chorus: Luke Combs]
So say I'm a middle of the road
Not much to show
Underachieving, average Joe
But I'm a hell of a lover
A damn good brother
And I wear this heart on my sleeve
And that might not mean much to you
But it does to me

[Verse 2: Luke Combs]
I was the one phone call when my brother went to jail
Pawned my guitar just to pay his bail
No, I'll never get it back
But I'm okay with that
I was the first man standing next to my best friend
The day the love of his life said ""I do"" to him
I was a couple beers deep
But I still remembered that speech
And that might not mean much to you
But it does to me
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus: Luke Combs]
So say I'm a middle of the road
Not much to show
Underachieving, average Joe
But I'm a hell of a lover
A damn good brother
And I wear this heart on my sleeve
And that might not mean much to you
But it does to me

[Bridge: Eric Church]
There's a worn-out blade that my granddaddy gave me
My mama's first Bible, Daddy's Don Williams vinyl
That first-fish-catching Zebco thirty-three
Well, that might not mean much to you
But it does to me

[Chorus: Luke Combs & Eric Church]
So say I'm a middle of the road
Not much to show
Underachieving average Joe (Average Joe)
But I'm a hell of a lover
A damn good brother
And I wear this heart on my sleeve
And I'm a damn hard working
One thing's for certain
I stand up for what I believe (For what I believe)
That might not mean much to you
But it does to me
Yeah, it does to me
And that might not mean much to you
But it does to me
[Outro: Eric Church]
Oh, it does to me
Oh man, it does to meEmbed"
Doin’ This,"[Verse 1]
Someone asked me once in an interview
""What was growing up like?""
""Where'd you go to school?""
""And what would you do if you weren't doin' this?""
I'd be drivin' my first car, an old worn-out Dodge
Tryin' to make rent with a dead-end job, just makin' due
With tips in a jar, my guitar, and an old barstool

[Chorus]
I'd have a Friday night crowd in the palm of my hand
Cup of brown liquor, couple buddies in a band
Singin' them same damn songs like I am now
I'd be feelin' on fire on a hardwood stage
Bright lights like lightning runnin' through my veins
At the Grand Ole Opry or a show in some no-name town
I'd still be doin' this if I weren't doin' this

[Verse 2]
I'd still be the same guy they knew back in the day
Who was burnin' CD's just to give away
Payin' his dues
If I wasn't doin' this
Five deep in a van, head full of steam
Hot on the heels of my neon dreams maybe comin' true
Livin' this life just like I was born to do
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
I'd have a Friday night crowd in the palm of my hand
Cup of brown liquor, couple buddies in a band
Singin' them same damn songs like I am now
I'd be feelin' on fire on a hardwood stage
Bright lights like lightning runnin' through my veins
At the Grand Ole Opry or a show in some no-name town
I'd still be doin' this if I weren't doin' this

[Bridge]
It ain't about the fame
It ain't about the fortune
It ain't about the name
It ain't about the glory
I guess I'm sayin' it's always been about

[Chorus]
I'd have a Friday night crowd in the palm of my hand
Cup of brown liquor, couple buddies in a band
Singin' them same damn songs like I am now
I'd be feelin' on fire on a hardwood stage
Bright lights like lightning runnin' through my veins
At the Grand Ole Opry or a show in some no-name town
I'd still be doin' this if I weren't doin' this

[Outro]
Someone asked me once in an interview
""What was growing up like?""
""Where'd you go to school?""
""And what would you do if you weren't doin' this?""2Embed"
Don’t Tempt Me,"[Verse 1]
I've been doing my best to make church on Sundays
And ain't been calling in hungover most Mondays
I guess you could say I'm being grown up
I got my shit together and oddly enough
I don't mind
'Cause it's about time
But if you second guessin', don't think for a second
That I can't hang

[Chorus]
'Cause I've been known to get a little bit of wild and reckless
Known to have a little bit of beer with breakfast
You can bet these boots have gotten pretty used to
Stomping on a hardwood floor
And buying the bar another round of shots
Close my tab and hit the parking lot
Next stop is a spot with a fridge stocked on the back porch
I ain't afraid to take too many steps out of line
So don't tempt me with a good time

[Verse 2]
Well most folks think I don't know how to throw down
They done forgot about rowdy
But no doubt he's still around
So keep cracking those jokes
'Cause I'm willing and able
Yeah, this old boy'll drink you under the table
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
'Cause I've been known to get a little bit of wild and reckless
Known to have a little bit of beer with breakfast
You can bet these boots have gotten pretty used to
Stomping on a hardwood floor
And buying the bar another round of shots
Close my tab and hit the parking lot
Next stop is a spot with a fridge stocked on the back porch
I ain't afraid to take too many steps out of line
So don't tempt me with a good time

[Bridge]
At 3AM I'm still hanging tough
My buddy's passed out in the bed of my truck
And I can't wait 'til he wakes up
And sees the pictures on his phone

[Chorus]
'Cause I've been known to get a little bit of wild and reckless
Known to have a little bit of beer with breakfast
You can bet these boots have gotten pretty used to
Stomping on a hardwood floor
And buying the bar another round of shots
Close my tab and hit the parking lot
Next stop is a spot with a fridge stocked on the back porch
I ain't afraid to take too many steps out of line
So don't tempt me with a good time
With a good timeEmbed"
Even Though I’m Leaving,"[Verse 1]
Daddy, I'm afraid, won't you stay a little while?
Keep me safe 'cause there's monsters right outside
Daddy, please don't go, I don't wanna be alone
'Cause the second that you're gone they're gonna know
Before he went to bed he grabbed my hand and said

[Chorus]
Just 'cause I'm leavin'
It don't mean that I won't be right by your side
When you need me
And you can't see me in the middle of the night
Just close your eyes and say a prayer
It's okay, I know you're scared when I'm not here
But I'll always be right there
Even though I'm leavin', I ain't goin' nowhere

[Verse 2]
Dad, we'll be late, and Uncle Sam don't like to wait
He's got a big old plane that's gonna take me far away
I know I act tough, but there's a churnin' in my gut
'Cause I just can't call you up when things get rough
Before I left, he hugged my neck and said

[Chorus]
Just 'cause you're leavin'
It don't mean that I won't be right by your side
When you need me
And you can't see me in the middle of the night
Just close your eyes and say a prayer
It's okay, I know you're scared I might be here
But I'll always be right there
Even though you're leavin', I ain't goin' nowhere
See Luke Combs LiveGet tickets as low as $78You might also like[Bridge]
Daddy, I'm afraid, won't you stay a little while?
I never thought I'd see the day I had to say goodbye
Daddy, please don't go, I can't do this on my own
There's no way that I can walk this road alone
Daddy grabbed my hand and said

[Chorus]
Just 'cause I'm leavin'
It don't mean that I won't be right by your side
When you need me
And you can't see me in the middle of the night
Just close your eyes and say a prayer
It's okay, boy, I ain't scared
I won't be here, but I'll always be right there
Even though I'm leavin', I ain't goin' nowhere
I ain't goin' nowhere12Embed"
Ever Mine,"[Verse 1]
My dearest darlin'
I miss you more than words can tell
I hope the gardens growin tall
You're in good spirits and good health
We've traveled far now with a long way to go still
I know not yet when I'll return or if I ever will

[Verse 2]
Each day grows colder
Filled with powder, smoke, and steel
I worry before it's over, I've forgotten how to feel
I keep your picture in the pocket of my coat
I sometimes find when I'm alone it's my last bit of hope

[Chorus]
Amidst the grips of these troubled times
Way back to you I always find
You're the wind that whispеrs through the pines
Bloom in the rows, green on thеm vines
Until we meet again my love sincerely signed
I'm ever yours, you're ever mine

[Verse 3]
Some of these boys aren't much older than our own
They fight like men and then get cut down before they're grown
This is my prayer that our daughter and our sons wrap their arms around each other and never around a gun
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Amidst the grips of these troubled times
Way back to you I always find
You're the wind that whispers through the pines
Bloom in the rows green on them vines
Until we meet again my love sincerely signed
I'm ever yours, you're ever mine

[Chorus]
If you should hear it's come my time
Way back to you I always find
I'll be the wind that whisper through the pines
Pitch in the black, star in the shine
Meet again on the other side
I'm ever yours, you're ever mineEmbed"
Every Little Bit Helps,"[Verse 1]
This futon I crashed on in college, well, it ain't our bed
But  at least it don't smell like you
Patron  up on the counter, well, it ain't your red
And them long stems are long gone, too
Put that record on, took your pictures off the shelf
Oh,  'cause every little bit helps

[Chorus]
Might  not get me all the way over you
But every little bit gets me a little bit closer to
Walkin'  right out of your valley of the shadow of death
Step by step, I'm gettin'
Out from under that spell you put on me
I know you just left and I know I might only be
One  night in to your ""goodbye, gone"" kinda hell
Oh, but every little bit helps

[Verse 2]
And this fiver might only spin my tires to the other side of town
But at least I'm out of this house
And this dive's tired, the band, man, it ain’t my sound
But at least they're playin' it loud
Two beers in and I'll be long gone come 12
Oh, 'cause every little bit helps
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Might not get me all the way over you
But every little bit gets me a little bit closer to
Walkin' right out of your valley of the shadow of death
Step by step, I'm gettin'
Out from under that spell you put on me
I know you just left and I know I might only be
One night in to your ""goodbye, gone"" kinda hell
Oh, but every little bit helps

[Bridge]
Every sip, every drink
That girl and her wink
It ain't much but I think
That every little bit helps

[Chorus]
Might not get me all the way over you
But every little bit gets me a little bit closer to
Walkin' right out of your valley of the shadow of death
Step by step, I'm gettin'
Out from under that spell you put on me
I know you just left and I know I might only be
One night in to your ""goodbye, gone"" kinda hell
Oh, but every little bit helps
Oh, yeah, every little bit helpsEmbed"
Everything We Need,"[Verse 1]
Days like these are worth more than gold
But they can't be bought and they can't be sold
On days like these when the sun shines bright
I feel like it's all gonna be alright

[Chorus]
When the sky is blue and the grass is green
How much better can it be?
If I got you and you got me
We got everything we need
Even if it grew on trees
Money can't buy days like these

[Verse 2]
They don't come around as much as they ought to
So soak 'em up when they do
Those days likе these they don't forgot
If you think it through thеy're all we got

[Chorus]
When the sky is blue and the grass is green
How much better can it be?
If I got you and you got me
We got everything we need
Even if it grew on trees
Money can't buy days like these
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
When the sky is blue and the grass is green
How much better can it be?
If I got you and you got me
We got everything we need
Yeah, even if it grew on trees
Well I'd probably miss the leaves
No, money can't buy days like these
Money can't buy days like theseEmbed"
Fast Car,"[Verse 1]
You got a fast car
And I want a ticket to anywhere
Maybe we make a deal
Maybe together we can get somewhere
Any place is better
Startin' from zero, got nothin' to lose
Maybe we'll make something
Me, myself, I got nothin' to prove

[Verse 2]
You got a fast car
And I got a plan to get us out of here
I've been workin' at the convenience store
Managed to save just a little bit of money
Won't have to drive too far
Just across thе border and into the city
And you and I can both get jobs
Finally see what it mеans to be livin'

[Verse 3]
See, my old man's got a problem
He live in the bottle, that's the way it is
He said his body's too old for working
His body's too young to look like his
So Mama went off and left him
She wanted more from life than he could give
I said, somebody's got to take care of him
So I quit school and that's what I did
See Luke Combs LiveGet tickets as low as $78You might also like[Pre-Chorus]
You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight or live and die this way

[Chorus]
So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us and your arm felt nice wrapped around my shoulder
And I, I had a feeling that I belonged
I, I had a feeling I could be someone, be someone, be someone

[Verse 4]
You got a fast car
We go cruising, entertain ourselves
You still ain't got a job
So I work in the market as a checkout girl
I know things will get better
You'll find work and I'll get promoted
And we'll move out of the shelter
Buy a bigger house, live in the suburbs

[Chorus]
Said I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us and your arm felt nice wrapped around my shoulder
And I, I had a feeling that I belonged
I, I had a feeling I could be someone, be someone, be someone
[Verse 5]
You got a fast car
I got a job that pays all our bills
You stay out drinking late at the bar
See more of your friends than you do your kids
I'd always hoped for better
Thought maybe together you and me would find it
I got no plans, I ain't goin' nowhere
Take your fast car and keep on driving

[Chorus]
So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us and your arm felt nice wrapped around my shoulder
And I, I had a feeling that I belonged
I, I had a feeling I could be someone, be someone, be someone

[Instrumental Break]

[Outro]
You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight or live and die this way1Embed"
Forever After All,"[Verse 1]
A cold beer's got twelve ounces
A good truck's got maybe three hundred thousand
You only get so much until it's gone
Duracells in a Maglite
A needle drop on a forty-five
Are the kinda things that only last so long

[Pre-Chorus]
When the new wears off, and they get to gettin' old
Sooner or later, time's gonna take its toll

[Chorus]
They say nothing lasts forever
But they ain't seen us together
Or the way the moonlight dances in your eyes
Just a T-shirt in the kitchen
With no make-up and a million
Other things that I could look at my whole life
A love like that makes a man have second thoughts
Maybe some things last forever after all

[Verse 2]
The FM station on the outskirts
Blue jeans after years of shift work
All fadin' out like I always knew they would
The strings on this guitar
The first love lost on a young heart
Those things are gonna break after the getting's good
See Luke Combs LiveGet tickets as low as $78You might also like[Pre-Chorus]
'Cause the new wears off and they get to gettin' old
Yeah, sooner or later, time's gonna take its toll

[Chorus]
They say nothing lasts forever
But they ain't seen us together
Or the way the moonlight dances in your eyes
Just a T-shirt in the kitchen
With no make-up and a million
Other things that I could look at my whole life
A love like that makes a man have second thoughts
Maybe some things last forever after all

[Guitar Solo]

[Chorus]
They say nothing lasts forever
But they ain't seen us together
Or the way the moonlight dances in your eyes
And I know there'll be that moment
The good Lord calls one of us home and
One won't have the other by their side
But Heaven knows it, that won't last too long
Maybe some things last forever after all
[Outro]
After all20Embed"
Fox in the Henhouse,"[Verse 1]
I'm tired of looking over my shoulder
I'm tired of losing sleep all week long
Tired of the uneasy feeling and the sinful deceiving
No, my soul won't rest 'til he's gone

[Chorus]
There's a fox in the henhouse
I can't seem to get him out
I'll hide in the shadows 'til the red rooster crows
Let that old twelve-gauge hammer come down

[Verse 2]
It's been going on a while now
It ain't hard to see all the signs
Fool me once, shame on me, but twice, then you'll see
That'll damn sure be the last time

[Chorus]
Thеre's a fox in the henhousе
I can't seem to get him out
I'll hide in the shadows 'til the red rooster crows
Let that old twelve-gauge hammer come down

[Instrumental Break]
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
There's a fox in the henhouse
I can't seem to get him out
I'll hide in the shadows 'til the red rooster crows
Let that old twelve-gauge hammer come down

[Outro]
Let that old twelve-gauge hammer come downEmbed"
"Going, Going, Gone","[Verse 1]
Some things in life are meant to fly
And others, they were born to run
You can't tie them up and leave 'em
Like the changing of the seasons
Good things, they come and then they go

[Chorus]
Like a runaway Southbound train
Like an Arizona desert rain
Like lightning in the sky
Like fireworks in July
Like a left field home run ball
Like a whiskey shot at last call
It's like she was made for moving on
That girl is going, going, gone

[Verse 2]
I can say it wasn't meant to be
But maybe meant to be is misunderstood
I can't hold on to letting go
Change the way the river flows
Lovin' her's like roping in the wind

[Chorus]
Like a runaway Southbound train
Like an Arizona desert rain
Like lightning in the sky
Like fireworks in July
Like a left field homerun ball
Like a whiskey shot at last call
It's like she was made for moving on
That girl is going, going, gone
See Luke Combs LiveGet tickets as low as $78You might also like[Instrumental Break]

[Bridge]
She ain't got one bit of stick around
There's no sense in tryin' to slow her down

[Chorus]
Like a runaway Southbound train
Like an Arizona desert rain
Like lightning in the sky
Like fireworks in July
Like a left field homerun ball
Like a whiskey shot at last call
It's like she was made for moving on
That girl is going, going, gone

[Outro]
Going, going, gone
Going, going, goneEmbed"
"Going, Going, Gone (Acoustic)","[Verse 1]
Some things in life are meant to fly
And others, they were born to run
You can't tie them up and leave 'em
Like the changing of the seasons
Good things, they come and then they go

[Chorus]
Like a runaway Southbound train
Like an Arizona desert rain
Like lightning in the sky
Like fireworks in July
Like a left field home run ball
Like a whiskey shot at last call
It's like she was made for moving on
That girl is going, going, gone

[Verse 2]
I can say it wasn't meant to be
Maybe mеant to be's misunderstood
I can't hold on to letting go
Changе the way the river flows
Lovin' her's like roping in the wind

[Chorus]
Like a runaway Southbound train
Like an Arizona desert rain
Like lightning in the sky
Like fireworks in July
Like a left field homerun ball
Like a whiskey shot at last call
It's like she was made for moving on
That girl is going, going, gone
See Luke Combs LiveGet tickets as low as $78You might also like[Bridge]
She ain't got one bit of stick around
There's no sense in tryin' to slow her down

[Chorus]
Like a runaway Southbound train
Like an Arizona desert rain
Like lightning in the sky
Like fireworks in July
Like a left field homerun ball
Like a whiskey shot at last call
It's like she was made for moving on
That girl is going, going, gone

[Outro]
Going, going, gone
Going, going, goneEmbed"
Good Old Days,"[Instrumental intro]

[Verse 1]
Two lanes, four doors
Twelve pack in a floorboard
Those were the good ol' days

Blue jeans, green eyes
Fireworks from a stepside
Those were the good ol' days

[Chorus]
We were young, we were free
Didn’t have a thing that we didn’t need
We were wild, we were green
Back when we knew everything
Back in the good ol' days
Back in the good ol' days

[Verse 2]
Ferris wheel, spinning around
Big nights in a small town
Those werе the good ol' days

Sneaking out, sleeping in
A little whitе lie about where we’d been
Those were the good ol' days
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
We were young, we were free
Didn’t have a thing that we didn’t need
We were wild, we were green
Back when we knew everything
Back in the good ol' days
Back in the good ol' days

[Bridge]
I guess time caught up to us
I’ll miss everything you know
Back in the good ol' days
Those were the good ol' days

[Chorus]
When we were young, we were free
Didn’t have a thing that we didn’t need
We were wild, we were green
Back when we knew everything
Back in the good ol' days
Those were the good ol' daysEmbed"
Greystone Chapel,"[Chorus]
Inside the walls of prison, my body may be
But the Lord has set my soul free

[Verse 1]
There's a greystone chapel here at Folsom
A house of worship in this den of sin
You wouldn’t think that God had a place here at Folsom
But he saved the souls of many lost men
Now, there's a greystone chapel here at Folsom
Stands a hundred years tall, made of granite rock
It takes a ring of keys to move here at Folsom
But the door to the house of God is never locked

[Chorus]
Inside the walls of prison, my body may be
But the Lord has set my soul free
But my Lord has set my soul free

[Verse 2]
There are men here that don't ever worship
There are men here who scoff at the ones who pray
But I’ve got down on my knees in that greystone chapel
And I thanked the Lord for helping me each day
Now, there's a greystone chapel here at Folsom
It has a touch of God's hand on every stone
It's a flower of light in a field of darkness
And it's given me the strength to carry on
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Inside the walls of prison, my body may be
But the Lord has set my soul free
But my Lord has set my soul freeEmbed"
Growin’ Up and Gettin’ Old,"[Verse 1]
I still hit them dive bars, every once in a blue moon
I've got a wild card, that I keep inside my boot
I've been thinkin' lately maybe I should save it
'Cause them hangovers sure kick my ass these days
So I spend most my happy hours here at home
In the middle of growin' up and gettin' old

[Chorus]
But I can still raise hell all night with the boys when I want to
Lay that hammer down to see how fast she'll go
But these days I hang my hat on what I won't do
I've been findin' peace of mind slowin' my roll
You learn to toe that line with time as it goes
In the middlе of growin' up and gettin' old

[Verse 2]
It's when you start thinkin', how much time lеft you got
If it's more sand, in the bottom or the top
'Cause that hourglass we have don't last forever
I've been thinkin' 'bout it more and more these days
It's like the less you have, the faster that it goes
In the middle of growin' up and gettin' old

[Chorus]
But I can still raise hell all night with the boys when I want to
Lay that hammer down to see how fast she'll go
But these days I hang my hat on what I won't do
I've been findin' peace of mind slowin' my roll
You learn to toe that line with time as it goes
In the middle of growin' up and gettin' old
See Luke Combs LiveGet tickets as low as $78You might also like[Bridge]
I'm still bendin' rules but thinkin' 'fore I break 'em
And I ain't lost a step, I just look before I take 'em

[Chorus]
But I can still raise hell all night with the boys when I want to
Lay that hammer down to see how fast she'll go
But these days I hang my hat on what I won't do
And I've been findin' peace of mind slowin' my roll
Learn to toe that line with time as it goes
In the middle of growin' up and gettin' oldEmbed"
Hannah Ford Road,"[Verse 1]
Her daddy bought it in '95
He built a cabin at the end of the drive
And he named that gravel path after his pride and joy
I met Hannah when we was in school
She was hot as Alabama in June
Wasn't long before I was knockin' on her door

[Chorus]
And we were goin' down Hannah Ford Road
Yeah, it always took us where we wanted to go
We couldn't wait any longer
And the feelin' couldn't get any stronger
Man, her daddy woulda killed me if he'd only known what was goin' on
Down Hannah Ford Road

[Verse 2]
Now Mr. Ford, he wasn't no fool
He kinda figured what we were up to
He said, ""Hannah, I don't want you seein' that boy no more""
So I'd cut the lights a quarter mile out
She'd meet me 'tween there and the house
Like two thieves in the night in the light of the dashboard glow

[Chorus]
We were goin' down Hannah Ford Road
Yeah, it always took us where we wanted to go
And we couldn't wait any longer
And the feelin' couldn't get any stronger
Man, her daddy woulda killed me if he'd only known what was goin' on
Down Hannah Ford Road
See Luke Combs LiveGet tickets as low as $78You might also like[Bridge]
Now, there ain't a time
I drive by that sign that in my mind, I ain't

[Chorus]
Goin' down Hannah Ford Road
Yeah, it always took us where we wanted to go
We couldn't wait any longer
And the feelin' couldn't get any stronger
Man, her daddy woulda killed me if he'd only known what was goin' on
Down Hannah Ford Road

[Outro]
Down Hannah Ford RoadEmbed"
Honky Tonk Highway,"[Verse 1]
Midnight Prevost heading down to Alabam' (Alabam')
I got a three-night run, we’re gonna kick it off in Birmingham
Headlights, wide lines, flying down 65
Trying to catch a few hours’ sleep
Tomorrow comes showtime, that’s when I know I’m
Livin' that neon dream

[Chorus]
Oh, I got the bus and the band and a one-night stand
Waiting on us down the road we’re gonna
Load it in, crank it to ten, whiskey shots till 2am
And off to another show and then it’s
Back to my baby for a couple days
But I can only stay for so long
'Til that honky-tonk highway’s calling me home

[Verse 2]
Rolling into Mobile, name on the marquee sign
Waving at the women that are standing in the ticket line
Point me to the stage I know that’s the only place I’m ever
Smoky bars, guitars, breaking all the girls’ hearts
That’s the only life for me

[Chorus]
Oh, I got the bus and the band and a one-night stand
Waiting on us down the road we’re gonna
Load it in, crank it to ten, whiskey shots till 2am
And off to another show and then it’s
Back to my baby for a couple days
But I can only stay for so long
'Til that honky-tonk highway’s calling me home
See Luke Combs LiveGet tickets as low as $78You might also like[Instrumental]

[Chorus]
Oh, I got the bus and the band and a one-night stand
Waiting on us down the road we’re gonna
Load it in, crank it to ten, whiskey shots till 2am
And off to another show and then it’s
Back to my baby for a couple days
But I can only stay for so long
'Til that honky-tonk highway’s calling me home
'Til that honky-tonk highway’s calling me homeEmbed"
"Houston, We Got a Problem","[Verse 1]
This is my kinda town
This is my kinda place
I wouldn't mind hangin' 'round
For more than just a couple days
I got a 12th floor room
With a killer view
Of the empty Astrodome
Got a tab at the bar downstairs
But all I can think about is home

[Chorus]
I got my new boots covered in red dirt
A ""Don't Mess With Texas"" t-shirt
And a Lonestar postcard postmarked with ""Missin' you""
It's got the biggest sky you've ever seen
The coldest beer you'd ever drink
But I still feel like I landed on the moon
'Cause it ain't got you
Houston, we got a problem

[Verse 2]
You should've seen 19th Street
You should've seen a midnight rodeo
The way them saloon doors swing
When they line dance to ""Copperhead Road""
Something 'bout the air down here
That'll make you feel
The way all them cowboys do
I wish I was an outlaw
But all I can think about is you
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
I got my new boots covered in red dirt
A ""Don't Mess With Texas"" t-shirt
And a Lonestar postcard postmarked with ""Missin' you""
It's got the biggest sky you've ever seen
The coldest beer you'd ever drink
But I still feel like I landed on the moon
'Cause it ain't got you
Houston, we got a problem

[Instrumental Break]

[Chorus/Outro]
It's got the biggest sky you've ever seen
The coldest beer you'd ever drink
But I still feel like I landed on the moon
'Cause it ain't got you
Houston, we got a problem
Houston, we got a problem
Houston, we got a problem4Embed"
Hurricane,"[Verse 1]
Hadn't had a good time since you know when
Got talked into goin' out with hopes you were stayin' in
I was feelin' like myself for the first time in a long time
Until I bumped into some of your friends over there talkin' to mine

[Chorus]
Then you rolled in with your hair in the wind
Baby, without warning
I was doin' alright but just your sight
Had my heart stormin’
The moon went hidin’, stars quit shinin’
Rain' was drivin’, thunder, lightnin'
You wrecked my whole world when you came
And hit me like a hurricane
You hit me like a hurricane

[Verse 2]
Knew it was gonna be a long night
From the moment when
We locked eyes over whiskey on ice
Started talkin' 'bout us again
If I woulda just laid my drink down
And walked out
I wouldn't be in my truck
Driving us to your house
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
But you rolled in with your hair in the wind
Baby, without warning
I was doin' alright but just your sight
Had my heart stormin’
The moon went hidin’, stars quit shinin’
Rain' was drivin’, thunder, lightning
You wrecked my whole world when you came
And hit me like a hurricane
You hit me like a hurricane

[Bridge]
A Category 5
With your smile
Blew me away
And girl it ain't but midnight
You done killed the lights
Bent my heart back to your bedside

[Chorus]
Then you rolled in with your hair in the wind
Baby, without warning
I was doing alright but just your sight
Had my heart stormin'
The moon went hidin’, stars quit shinin’
Rain was drivin’, thunder n' lightning
You wrecked my whole world when you came
And hit me like a hurricane
You hit me like a hurricane
You hit me like a hurricane9Embed"
I Got Away with You,"[Verse 1]
Well I got caught in Panama City
Tryin' to buy some beer for some Georgia girls
And I got wore out by my daddy
For stealin' cigarettes from the Smokes and More
And all my friends would get away
Seems I'd get caught, plain as day
I took the blame for every little thing

[Chorus]
But I got away with you
And somehow l still ain't been found out
It's a crazy truth
Like l strolled out the gates of Alcatraz
And l walked in the Louvre
Now the Mona Lisa's hanging in my house
I bust out of Buckingham with the crown jewels
And l got away with you

[Verse 2]
Well lookin' like you do
On its damn own, should be a crime
Let alone a fool like me
Hand in hand with you, should be doin' time
But here we are runnin' free
Guess someone turned the other cheek
'Cause there ain't no blue lights in the rear view
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Guess I got away with you
And somehow l still ain't been found out
It's a crazy truth
Like l strolled out the gates of Alcatraz
And l walked in the Louvre
Now the Mona Lisa's hanging in my house
I bust out of Buckingham with the crown jewels
And l got away with you

[Bridge]
I'll take it all, the fails, the falls
The county jails and one phone calls
I'd do it all again if I had to

[Chorus]
'Cause I got away with you
Somehow girl, I still ain't been found out
It's a crazy truth
Like l strolled out the gates of Alcatraz
And l walked in the Louvre
Now the Mona Lisa's hanging in my house
I bust out of Buckingham with the crown jewels
And l got away with you
When l got away with you
Yeah, I got away with you1Embed"
I Know She Ain’t Ready,"[Verse 1]
You were wearing that black dress
Coat, and cowboy boots
He was there, but I didn't care
I was too busy staring at you

[Pre-Chorus 1]
In the pouring rain, with the blue lights flashin'
In the hills of Appalachian
Close to tears with your makeup smeared
I asked you what had happened

[Chorus 1]
But I know she ain't ready
She won't be for awhile
And he broke her down
And when I'm around
I can see it in her smile
She's fightin' getting closer
It's just too plain to see
And I know she ain't ready
But that's alright with me

[Verse 2]
You were wearing that red dress
Pearls, and those high heels
Liked the way it made you look
You love the way it made you feel
See Luke Combs LiveGet tickets as low as $78You might also like[Pre-Chorus 2]
So I said to you
""I'd sure love to do this again""
And you said ""Me too
But I'm just not over him""

[Chorus 1]
And I know she ain't ready
She won't be for awhile
And he broke her down
And when I'm around
I can see it in her smile
She's fightin' getting closer
It's just too plain to see
And I know she ain't ready
But that's alright with me, yeah

[Pre-Chorus 3]
She started calling me baby, and two years later
I was down on one knee
With a ring in hand, I said
""I'm your man, and girl, will you marry me?""

[Chorus 2]
She said, ""You know that I'm ready
And I have been for awhile
When the bells sound and you turn around
I'll be walking down the aisle
This will only bring us closer
It's just too plain to see
And I know that we're ready
So that's alright with me
That's alright with me""4Embed"
